id;cycle_phase;day;day_of_cycle
f2a2afd2-64d6-4b86-99aa-f3531fe021e6;follicular;2026-01-28;1
11364026-1d23-4787-839f-244ec25e57eb;follicular;2026-01-29;2
332e1a31-2340-434d-8a74-0b52352e0a7a;follicular;2026-01-30;3
8c5b44c5-196f-4f03-8562-9d080375a5a8;follicular;2026-01-31;4
195ffe0d-5437-4641-a7ad-5901a2156425;follicular;2026-02-01;5
96c7e984-f87c-47a7-8724-d773cea91a70;follicular;2026-02-02;6
0a2d5225-fa80-4302-bbe0-c4839492f304;follicular;2026-02-03;7
6e09fde8-0e5e-4b44-a292-dab318592929;follicular;2026-02-04;8
4370288c-fa30-4382-a0a5-c1e407788eaf;follicular;2026-02-05;9
36a95509-01ad-44f2-8ecd-8bb9c230a044;follicular;2026-02-06;10
413b464b-3818-4b88-a0d9-2de9426ec087;follicular;2026-02-07;11
9547710a-2843-46cb-8dba-6319d29ef118;follicular;2026-02-08;12
7c96a2a1-70c6-4968-9533-02fc243fdeae;follicular;2026-02-09;13
0ab7baee-5f46-4cb3-ab71-ba4483853c14;follicular;2026-02-10;14
704adceb-ef05-4976-9265-c02b1c3ff1e8;follicular;2026-02-11;15
bc7e69b2-93f2-4289-ac24-5cb70e55d168;luteal;2026-02-12;16
1f149809-5110-45ca-9fbd-9776fd4164f8;luteal;2026-02-13;17
9d44507c-d545-4537-965a-cb0eb77ca696;luteal;2026-02-14;18
7d3a0a20-f2d7-400d-bc4d-fec1a6c5bfa5;luteal;2026-02-15;19
b8f89682-bd8d-4f2f-a1ba-971d4cbb2c5c;luteal;2026-02-16;20
ff95efee-d31d-4f22-9315-2c9882e9ad2a;luteal;2026-02-17;21
cb33e27b-aa50-4668-88a9-a7ab391fd25e;luteal;2026-02-18;22
e8aea409-3f7c-4f21-8ccd-fadcfa96a818;luteal;2026-02-19;23
82f9d194-1949-4a39-96fb-aca36c57bdf8;luteal;2026-02-20;24
1d8ac5af-404e-45ed-b223-a849f779556c;luteal;2026-02-21;25
a14150da-fd97-49d1-810f-c5ed0770a645;luteal;2026-02-22;26
3a935dd9-c000-4e24-98ac-b508c06433b5;follicular;2026-02-23;1
95d33dcc-5c2f-4238-a46f-1251d28f8a00;follicular;2026-02-24;2
6eb3019d-ac3c-49ee-a44c-601713526c8d;follicular;2026-02-25;3
e84f1516-e15e-44b7-992c-f4331871fc41;follicular;2026-02-26;4
c9147874-2f8f-430c-bd34-5230168098cd;follicular;2026-02-27;5
35f8bb1f-2500-4910-ab1a-2acada68e1e0;follicular;2026-02-28;6
f9f6ff3f-d509-4b96-a611-8739b1395bbe;follicular;2026-03-01;7
f0b214c1-88ea-4430-b5b3-7dcc0fec682a;follicular;2026-03-02;8
986b9d15-b54c-4a47-acbf-a60469d06e74;follicular;2026-03-03;9
a77b1201-82aa-4f29-a221-5932c1f5ad95;follicular;2026-03-04;10
733a81c5-d1e7-487d-8369-18f61aa74175;follicular;2026-03-05;11
207e4ed8-a6f7-4191-a54c-cfc1e11c20ba;luteal;2026-03-06;12
4408462f-962b-4307-a318-77f83f836e5a;luteal;2026-03-07;13
766f2334-b405-46b6-adc8-cb06551b5a06;luteal;2026-03-08;14
c2449375-67ef-4532-a1b5-c16d3442369e;luteal;2026-03-09;15
6243a23b-193a-4ac6-9632-3b5d53c0245e;luteal;2026-03-10;16
ab4f8185-7ea4-4028-a1e8-451158ae734a;luteal;2026-03-11;17
13961b0c-e2d3-467d-b901-92f5d04cfeab;luteal;2026-03-12;18
b89969ea-f058-4496-9224-62fdef6c38d4;luteal;2026-03-13;19
7ae87b6e-a329-4fe0-8daf-b97fa34b6e0b;luteal;2026-03-14;20
5bb7e701-b07c-467d-b514-4a6bd5c18a16;luteal;2026-03-15;21
faf02771-9663-451a-9ffe-70f763ecf885;luteal;2026-03-16;22
81df25de-79e1-438f-a23d-18526363dd10;luteal;2026-03-17;23
f81044d2-241f-4d0c-844a-5980b4545726;luteal;2026-03-18;24
e7d376ed-f71a-4e9a-a284-8ffe0cb92359;luteal;2026-03-19;25
e0176704-f22f-494a-be10-bde54790e8fb;luteal;2026-03-20;26
60db2b97-484f-4f9c-8620-19f26f49f05d;luteal;2026-03-21;27
0fe0aa33-480e-4b42-9685-5b9bfcfee85b;luteal;2026-03-22;28
bb9a900d-779d-4b9c-9db0-cc429f144201;luteal;2026-03-23;29
88e9f3e4-e98e-4a39-a3a7-91e265abfe65;luteal;2026-03-24;30
436f6287-2060-4f94-84a3-d6907a3640b0;luteal;2026-03-25;31
b05a20e4-5130-4e49-afe4-2ed442a6763a;luteal;2026-03-26;32
3e12a240-0553-4ddc-bf73-2f3105214116;luteal;2026-03-27;33
e4153565-175f-4913-97d1-75025c573608;luteal;2026-03-28;34
f4a8f870-c2b2-40c6-94e7-c7084bc78a74;luteal;2026-03-29;35
61c1bbb0-c117-408f-b65e-60214ec51740;follicular;2026-03-30;1
696a3d6b-f00a-4361-98a0-d181db00c678;follicular;2026-03-31;2
457d5276-1d12-4e90-b4e5-824afc16d1b2;follicular;2026-04-01;3
363b68ab-ce20-42d6-bc19-9d3594b3f2cc;follicular;2026-04-02;4
1ca4437f-49a4-4d8b-a521-5ea827bb636e;follicular;2026-04-03;5
13140687-a375-48b8-88e8-f80d8f0ce870;follicular;2026-04-04;6
ab205f64-125c-4aea-a310-35880c0922b3;follicular;2026-04-05;7
8ae3880b-4111-40d7-a8ae-3f8d02120a62;follicular;2026-04-06;8
c2cd5d14-07d2-4bf2-a5e6-99b67f079816;follicular;2026-04-07;9
60ff64e1-ae00-41a0-acac-7e5aac29618c;follicular;2026-04-08;10
f43c0c07-4677-4459-bc67-0c1341eaf6a3;follicular;2026-04-09;11
fae7e1f2-31df-4141-84eb-f955221cbc46;follicular;2026-04-10;12
17cbd649-1ded-4802-9cfe-23878c41b928;follicular;2026-04-11;13
6779ab2d-8da4-491f-b67b-78fb5d28ef92;follicular;2026-04-12;14
93e77aa0-8a53-4289-b461-959013ea762a;follicular;2026-04-13;15
e8fd97f1-1ecd-4ed9-a7a9-a17aa18c4fdc;follicular;2026-04-14;16
c1d401d5-f3c3-47ef-a067-d8c1462be2de;luteal;2026-04-15;17
fca4d52e-b4a3-448a-8ebd-8d23a7396f0a;luteal;2026-04-16;18
003a9dc5-fb93-418e-9d11-a3c3b10aad57;luteal;2026-04-17;19
30dcce07-02d9-473b-9693-981ae3a7b0ff;luteal;2026-04-18;20
0b10d554-e64d-47c0-b83f-8755794fde58;luteal;2026-04-19;21
58fc43cf-ad1b-4942-ab14-eff07d3a5413;luteal;2026-04-20;22
8240800e-c8b5-482c-a34a-ee9a778d484d;luteal;2026-04-21;23
35000d48-e723-42f4-a0bc-047e42943457;luteal;2026-04-22;24
d6aa7aea-40ee-497d-a3d1-3548b5bee7f3;luteal;2026-04-23;25
83158448-a69b-48a5-8c7a-df511a30b173;luteal;2026-04-24;26
7636978d-46ad-4762-94d9-54c2ef9cedb0;luteal;2026-04-25;27
68863786-1ad4-44fd-8b8f-099baf949f17;luteal;2026-04-26;28
6f5d6cfc-f3ce-4750-bdca-bd08cb6f8691;luteal;2026-04-27;29
